Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
29	9.06	14	
28	9.06	14	
32	54.12	87	
47	54.12	87	
34	54.12	87	
42	5.71	9	
31	5.71	9	
11	5.71	9	
28	5.71	9	
2	5.71	9	
25	5.71	9	
4	5.71	9	
38	5.71	9	
25	5.71	9	
7	5.71	9	
7	19.30	31	
29	19.30	31	
6	19.30	31	
37	19.30	31	
22	19.30	31	
18	19.30	31	
9	19.30	31	
22	19.30	31	
23	19.30	31	
47	33.08	53	
2	33.08	53	
13	33.08	53	
15	33.08	53	
8	33.08	53	
48	33.08	53	
4	33.08	53	
28	33.08	53	
15	33.08	53	
5	33.08	53	
31	33.08	53	
48	33.08	53	
6	33.08	53	
7	33.08	53	
25	46.65	75	
34	46.65	75	
8	46.65	75	
47	46.65	75	
18	46.65	75	
47	46.65	75	
35	46.65	75	
26	46.65	75	
44	46.65	75	
47	46.65	75	
10	60.23	96	
8	60.23	96	
13	60.23	96	
8	60.23	96	
46	60.23	96	
19	60.23	96	
8	60.23	96	
47	60.23	96	
11	60.23	96	
2	60.23	96	
17	60.23	96	
29	60.23	96	
49	12.36	20	
Node ID	CPU Usage (%)	Total number of transactions
28	49.73	80	
2	49.73	80	
23	49.73	80	
12	49.73	80	
17	49.73	80	
1	49.73	80	
47	49.73	80	
41	49.73	80	
25	32.43	52	
4	32.43	52	
44	32.43	52	
41	32.43	52	
32	32.43	52	
3	32.43	52	
4	32.43	52	
15	15.01	24	
4	15.01	24	
23	15.01	24	
46	15.01	24	
1	15.01	24	
17	15.01	24	
22	15.01	24	
17	15.01	24	
2	15.01	24	
17	15.01	24	
20	15.01	24	
33	59.75	96	
22	59.75	96	
8	59.75	96	
16	59.75	96	
41	59.75	96	
12	59.75	96	
30	59.75	96	
15	59.75	96	
32	59.75	96	
20	59.75	96	
25	59.75	96	
4	42.50	68	
4	42.50	68	
39	42.50	68	
6	42.50	68	
33	42.50	68	
21	42.50	68	
44	42.50	68	
29	42.50	68	
3	42.50	68	
26	25.48	41	
47	25.48	41	
30	25.48	41	
40	25.48	41	
