Source_ID Destination_ID Rating Votes
Source_ID Destination_ID Rating Votes
   34           22          0     1
   20           17          1     1
   11            2          6     1
   32           17          6     1
   12           20          1     1
   51           33          7     1
    7           22          5     1
   26            8          1     1
   55           16          9     1
   39           41          9     1
    5           12          7     1
   35           30          1     1
   17           15          4     1
   50           32          6     1
   12           20          1     1
   40           25          6     1
   39            4          2     1
   16            4          9     1
   24           39          6     1
    3            6         10     1
    1           33          7     1
   37           21          3     1
   16           44          7     1
    9           29          7     1
   23            3         10     1
   18           26         10     1
    9           47          4     1
   53           30          4     1
   25           40          0     1
   28           42          8     1
   43           47         10     1
   12           45          6     1
   26           10          0     1
   46            8          7     1
    4           22          1     1
   16            4          9     1
   16           35          5     1
    6           34          1     1
   43           37          0     1
   16           44          7     1
   40           35          7     1
   55           17          7     1
   56            2          4     1
   31           36          3     1
   42           41          1     1
   27           49          7     1
   31           40          1     1
    4           31          0     1
   54           34          0     1
   18           26         10     1
   29           30          3     1
   16           35          5     1
   12           45          6     1
    6            3          2     1
   26           13          5     1
   28           42          8     1
   56            3          6     1
   22           40          0     1
   35           23          1     1
    3            7          0     1
   42           29          2     1
   22           42         10     1
   51           22          5     1
   53           33          4     1
    9           29          4     1
    5           42          2     1
   29           23          6     1
   37           43          8     1
   21           25          3     1
   27            4          2     1
   37           28          8     1
    6           47          0     1
    6           20          7     1
   41           24          0     1
   13           18          3     1
   32            1          5     1
   56           37          9     1
   28           43          7     1
    7           29          9     1
   22           42         10     1
   34            5          1     1
   34           20         10     1
   15           14         10     1
   13           18          3     1
   50            9          1     1
    5           12          1     1
   16           29          8     1
    8           11          9     1
   45           28          9     1
   32           42          9     1
    6           35          7     1
   23           44         10     1
   56           19          6     1
   10            2          2     1
   16           29          8     1
   28           49          1     1
    2           17          6     1
   15           14         10     1
    8           36         10     1
   50           43          6     1
   28           43          7     1
   31           14          3     1
   27           39          2     1
   20           14          0     1
   32           17          2     1
   50           16          3     1
    6           36          2     1
   54            8          4     1
   14            3          4     1
   35           46         10     1
   10            5         10     1
   48           24         10     1
   34           26         10     1
   20           14          0     1
   53           38          3     1
   17           28          5     1
    8           23          5     1
   15           42          5     1
   23           44         10     1
   14            3          4     1
   15           42          5     1
   55            1         10     1
   45           37          0     1
   42           49          8     1
   18           43          1     1
   54           37          8     1
   16           49          2     1
   55           46          9     1
    4           28          3     1
   42           32          3     1
   18           10          9     1
   33           48          1     1
   47           13          8     1
   51           11          4     1
   18           10          9     1
    3           44          1     1
   26           37          7     1
   43            1          3     1
   16           49          2     1
   17           37          1     1
   17           28          5     1
   50            7          2     1
   14           41          0     1
    9           29          1     1
   18           43          1     1
   45           33          5     1
   10            6          8     1
    3           31          9     1
   11           21          9     1
   31           22          7     1
   18            4          6     1
   48            8          3     1
   14           41          0     1
   42            1          0     1
   32           44          7     1
   26           20          1     1
   26           38          5     1
    4           44          6     1
   17           37          1     1
   19           41          0     1
   33           26          9     1
   18            4          6     1
   39           35          0     1
   19           33          9     1
   14           15          3     1
   44            7          1     1
   55           46          0     1
   24           30         10     1
   11           21          9     1
    5           36          5     1
   27           46          0     1
   45           37          8     1
    3            5          8     1
   40           14          1     1
   28           24         10     1
   55           10          3     1
   19           41          0     1
    5           27         10     1
   56           13          6     1
   36           27         10     1
   45           47          4     1
   27           48          6     1
   14           15          3     1
   45            1          8     1
   54           14          7     1
   37            7          7     1
   19           33          9     1
   15           31          1     1
   51           39         10     1
    1           19          6     1
   32            2          6     1
   22           29          8     1
   26           28          8     1
