Node ID	Battery Consumption (%)	TotalNumber of Transactions
30	0.00013611	98	
32	0.00013611	98	
15	0.00013611	98	
20	0.00002917	21	
25	0.00002917	21	
4	0.00002917	21	
4	0.00002917	21	
39	0.00002917	21	
6	0.00005833	42	
33	0.00005833	42	
21	0.00005833	42	
44	0.00005833	42	
29	0.00002083	15	
3	0.00002083	15	
26	0.00002083	15	
47	0.00002083	15	
30	0.00002083	15	
40	0.00001250	9	
42	0.00001250	9	
47	0.00001250	9	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00009722	70	
2	0.00009722	70	
23	0.00009722	70	
12	0.00009722	70	
17	0.00009722	70	
1	0.00005694	41	
47	0.00005694	41	
41	0.00005694	41	
25	0.00008889	64	
4	0.00008889	64	
44	0.00005000	36	
41	0.00005000	36	
32	0.00008056	58	
3	0.00008056	58	
4	0.00004167	30	
15	0.00004167	30	
4	0.00007222	52	
23	0.00007222	52	
46	0.00007222	52	
1	0.00010278	74	
17	0.00010278	74	
22	0.00010278	74	
17	0.00010278	74	
2	0.00013333	96	
17	0.00013333	96	
20	0.00013333	96	
33	0.00013333	96	
22	0.00013333	96	
8	0.00013333	96	
16	0.00009444	68	
41	0.00009444	68	
12	0.00012639	91	
30	0.00012639	91	
32	0.00012639	91	
15	0.00012639	91	
20	0.00001806	13	
25	0.00001806	13	
4	0.00001806	13	
4	0.00001806	13	
39	0.00001806	13	
6	0.00004861	35	
33	0.00004861	35	
21	0.00004861	35	
44	0.00004861	35	
29	0.00000972	7	
3	0.00000972	7	
26	0.00000972	7	
47	0.00000972	7	
30	0.00000972	7	
40	0.00007083	51	
42	0.00007083	51	
47	0.00007083	51	
45	0.00007083	51	
10	0.00007083	51	
8	0.00007083	51	
22	0.00007083	51	
4	0.00003194	23	
35	0.00003194	23	
34	0.00003194	23	
37	0.00003194	23	
44	0.00003194	23	
35	0.00003194	23	
17	0.00006111	44	
2	0.00006111	44	
36	0.00006111	44	
41	0.00002361	17	
49	0.00002361	17	
40	0.00002361	17	
31	0.00002361	17	
34	0.00002361	17	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00009861	71	
2	0.00009861	71	
23	0.00009861	71	
12	0.00009861	71	
17	0.00009861	71	
1	0.00005972	43	
47	0.00005972	43	
41	0.00005972	43	
25	0.00005972	43	
4	0.00002222	16	
44	0.00012083	87	
41	0.00012083	87	
32	0.00008333	60	
3	0.00008333	60	
4	0.00011250	81	
15	0.00011250	81	
4	0.00000556	4	
23	0.00000556	4	
46	0.00000556	4	
1	0.00003611	26	
17	0.00003611	26	
22	0.00003611	26	
17	0.00003611	26	
2	0.00006667	48	
17	0.00006667	48	
20	0.00006667	48	
33	0.00006667	48	
22	0.00006667	48	
8	0.00006667	48	
16	0.00002778	20	
41	0.00002778	20	
12	0.00012778	92	
30	0.00012778	92	
32	0.00012778	92	
15	0.00012778	92	
20	0.00001944	14	
25	0.00001944	14	
4	0.00001944	14	
4	0.00001944	14	
39	0.00001944	14	
6	0.00005000	36	
33	0.00005000	36	
21	0.00005000	36	
44	0.00005000	36	
29	0.00001111	8	
3	0.00001111	8	
26	0.00001111	8	
47	0.00001111	8	
30	0.00001111	8	
40	0.00000417	3	
42	0.00000417	3	
47	0.00000417	3	
45	0.00000417	3	
10	0.00000417	3	
8	0.00000417	3	
22	0.00000417	3	
4	0.00003333	24	
35	0.00003333	24	
34	0.00003333	24	
37	0.00003333	24	
44	0.00003333	24	
35	0.00003333	24	
17	0.00013333	96	
2	0.00013333	96	
36	0.00013333	96	
41	0.00002639	19	
49	0.00002639	19	
40	0.00002639	19	
31	0.00002639	19	
34	0.00002639	19	
26	0.00002639	19	
30	0.00005694	41	
35	0.00005694	41	
45	0.00005694	41	
3	0.00005694	41	
13	0.00005694	41	
3	0.00005694	41	
40	0.00005694	41	
23	0.00005694	41	
7	0.00008611	62	
29	0.00008611	62	
42	0.00008611	62	
22	0.00008611	62	
33	0.00008611	62	
29	0.00008611	62	
42	0.00008611	62	
23	0.00008611	62	
43	0.00008611	62	
25	0.00008611	62	
4	0.00008611	62	
28	0.00008611	62	
47	0.00008611	62	
20	0.00008611	62	
24	0.00008611	62	
18	0.00008611	62	
1	0.00004861	35	
37	0.00004861	35	
43	0.00004861	35	
29	0.00004861	35	
5	0.00004861	35	
20	0.00000972	7	
14	0.00000972	7	
18	0.00010972	79	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00004444	32	
2	0.00004444	32	
23	0.00000556	4	
12	0.00000556	4	
17	0.00000556	4	
1	0.00000556	4	
47	0.00000556	4	
41	0.00010556	76	
25	0.00010556	76	
4	0.00010556	76	
44	0.00013611	98	
41	0.00009583	69	
32	0.00009583	69	
3	0.00012778	92	
4	0.00012778	92	
15	0.00012778	92	
4	0.00001944	14	
23	0.00001944	14	
46	0.00005000	36	
1	0.00005000	36	
17	0.00005000	36	
22	0.00005000	36	
17	0.00005000	36	
2	0.00007917	57	
17	0.00007917	57	
20	0.00007917	57	
33	0.00004306	31	
22	0.00004306	31	
8	0.00004306	31	
16	0.00004306	31	
41	0.00007222	52	
12	0.00007222	52	
30	0.00007222	52	
32	0.00007222	52	
15	0.00010278	74	
20	0.00010278	74	
25	0.00010278	74	
4	0.00010278	74	
4	0.00010278	74	
39	0.00006528	47	
6	0.00006528	47	
33	0.00006528	47	
21	0.00006528	47	
44	0.00009444	68	
29	0.00009444	68	
3	0.00009444	68	
26	0.00009444	68	
47	0.00012500	90	
30	0.00012500	90	
40	0.00008750	63	
42	0.00008750	63	
